id;state;id_countries
1;Kentucky;1
2;California;1
3;Florida;1
4;North Carolina;1
5;Washington;1
6;Texas;1
7;Wisconsin;1
8;Utah;1
9;Nebraska;1
10;Pennsylvania;1
11;Illinois;1
12;Minnesota;1
13;Michigan;1
14;Delaware;1
15;Indiana;1
16;New York;1
17;Arizona;1
18;Virginia;1
19;Tennessee;1
20;Alabama;1
21;South Carolina;1
22;Oregon;1
23;Colorado;1
24;Iowa;1
25;Ohio;1
26;Missouri;1
27;Oklahoma;1
28;New Mexico;1
29;Louisiana;1
30;Connecticut;1
31;New Jersey;1
32;Massachusetts;1
33;Georgia;1
34;Nevada;1
35;Rhode Island;1
36;Mississippi;1
37;Arkansas;1
38;Montana;1
39;New Hampshire;1
40;Maryland;1
41;District of Columbia;1
42;Kansas;1
43;Vermont;1
44;Maine;1
45;South Dakota;1
46;Idaho;1
47;North Dakota;1
48;Wyoming;1
49;West Virginia;1
